Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0805_2012Metric,27.940000,-27.940000,90.000000,top
C4,100n,C_0805_2012Metric,74.295000,-24.130000,0.000000,top
C6,100n,C_0805_2012Metric,40.640000,-23.749000,0.000000,top
C7,100n,C_0805_2012Metric,34.925000,-23.749000,0.000000,top
C8,2.2n 50V,C_0805_2012Metric,38.735000,-13.970000,0.000000,top
D1,SS54,D_SMA,10.795000,-34.925000,270.000000,top
D2,5V power,LED_0603_1608Metric,-1.143000,-36.830000,0.000000,top
D3,3V3 power,LED_0603_1608Metric,-1.117500,-38.735000,0.000000,top
D4,Status,LED_0603_1608Metric,-1.143000,-40.640000,0.000000,top
L1,100u,L_12x12mm_H6mm,11.430000,-23.495000,0.000000,top
R1,300,R_1206_3216Metric,4.445000,-36.830000,0.000000,top
R2,10k,R_1206_3216Metric,71.120000,-22.860000,270.000000,top
R3,100,R_1206_3216Metric,3.175000,-39.370000,180.000000,top
R4,100,R_1206_3216Metric,1.905000,-43.180000,90.000000,top
R5,100k,R_1206_3216Metric,64.770000,-10.795000,0.000000,top
R6,100k,R_1206_3216Metric,64.770000,0.000000,0.000000,top
R7,10k,R_1206_3216Metric,9.144000,-14.224000,90.000000,top
R8,10k,R_1206_3216Metric,11.684000,-14.224000,90.000000,top
U1,LM2576S-5,TO-263-5_TabPin3,22.225000,-36.195000,0.000000,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,22.860000,-25.400000,270.000000,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,66.675000,-35.560000,270.000000,top
U4,PCA9306DC1,VSSOP-8_2.3x2mm_P0.5mm,65.405000,-13.335000,0.000000,top
U5,PCA9306DC1,VSSOP-8_2.3x2mm_P0.5mm,64.770000,-2.540000,0.000000,top
U6,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,37.960001,-18.164001,0.000000,top
