Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,5V,LED_0603_1608Metric,212.344000,-85.090000,90.000000,top
D2,12V,LED_0603_1608Metric,214.884000,-85.090000,90.000000,top
C2,100n,C_0805_2012Metric,195.326000,-38.862000,180.000000,top
C3,22p,C_0805_2012Metric,199.644000,-53.848000,270.000000,top
C4,22p,C_0805_2012Metric,199.644000,-60.198000,90.000000,top
C6,100n,C_0805_2012Metric,204.470000,-74.168000,90.000000,top
R1,10k,R_1206_3216Metric,216.662000,-40.640000,270.000000,top
R2,470,R_1206_3216Metric,212.344000,-81.045001,270.000000,top
R3,470,R_1206_3216Metric,214.884000,-81.045001,270.000000,top
R4,470,R_1206_3216Metric,209.804000,-81.026000,270.000000,top
D3,Status,LED_0603_1608Metric,209.804000,-85.090000,90.000000,top
U1,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,206.756000,-59.436000,0.000000,top
U2,BD62130AEFJ,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,195.834000,-68.580000,90.000000,top
U3,BD62130AEFJ,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,206.756000,-46.228000,0.000000,top
U4,BD62130AEFJ,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,218.186000,-68.580000,270.000000,top
Y1,16MHz,Crystal_SMD_HC49-SD,195.580000,-57.150000,270.000000,top
