Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10u","CP_Elec_5x5.4",35.720000,-25.448000,0.000000,top
"C5","10u","CP_Elec_5x5.4",-6.190000,-20.368000,90.000000,top
"C29","4.7u","CP_Elec_5x5.4",14.765000,-23.162000,180.000000,top
"C30","100u","CP_Elec_5x5.4",6.764000,-25.067000,0.000000,top
"C31","10u","CP_Elec_5x5.4",28.735000,-23.162000,180.000000,top
"C32","10u","CP_Elec_5x5.4",21.750000,-25.321000,0.000000,top
"D1","Fault","LED_0603_1608Metric",-5.174000,-26.464000,90.000000,top
"D2","ST","LED_0603_1608Metric",-7.079000,-26.464000,90.000000,top
"D3","5V","LED_0603_1608Metric",-5.555000,2.238000,-90.000000,top
"D4","3V3","LED_0603_1608Metric",-7.333000,2.238000,-90.000000,top
"D8","12V","LED_0603_1608Metric",-3.777000,2.238000,-90.000000,top
"J1","Conn_ST_STDC14","PinHeader_2x07_P1.27mm_Vertical",30.226000,-17.145000,90.000000,top
"J2","12V","BarrelJack_Horizontal",0.318000,-7.218500,0.000000,top
"J3","I2C","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",48.567000,-10.335000,90.000000,top
"J4","RS485","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",48.547000,-21.638000,90.000000,top
"J5","Stepper","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",13.749000,1.496000,180.000000,top
"J6","Stepper","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",24.925000,1.496000,180.000000,top
"J7","Stepper","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",36.101000,1.496000,180.000000,top
"RV1","4.7k","Potentiometer_Bourns_3314J_Vertical",2.573000,-16.177000,0.000000,top
