Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0603_1608Metric,-17.005000,12.700000,0.000000,top
C2,22p,C_0603_1608Metric,-13.970000,0.000000,0.000000,top
C3,10u,CP_Radial_D8.0mm_P3.80mm,-14.210604,-17.018000,0.000000,top
C4,100n,C_0603_1608Metric,-2.540000,-3.175000,0.000000,top
D1,Status,LED_0805_2012Metric,14.452500,13.970000,180.000000,top
J1,LED Strip,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,3.175000,-6.985000,0.000000,top
J2,AVR-ISP-6,PinHeader_2x03_P2.54mm_Vertical,-8.255000,-6.350000,0.000000,top
J3,I2C,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2.540000,1.270000,0.000000,top
J4,RS485,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,-10.160000,1.270000,0.000000,top
J5,US0,PinSocket_1x04_P2.54mm_Vertical,26.035000,3.810000,0.000000,top
J6,US1,PinSocket_1x04_P2.54mm_Vertical,23.368000,12.192000,-144.000000,top
J7,US2,PinSocket_1x04_P2.54mm_Vertical,4.572000,25.908000,72.000000,top
J8,US3,PinSocket_1x04_P2.54mm_Vertical,-4.572000,25.908000,-72.000000,top
J9,US4,PinSocket_1x04_P2.54mm_Vertical,-23.241000,12.192000,144.000000,top
J10,US5,PinSocket_1x04_P2.54mm_Vertical,-26.035000,3.810000,0.000000,top
J11,US6,PinSocket_1x04_P2.54mm_Vertical,-18.796000,-18.415000,-144.000000,top
J12,US7,PinSocket_1x04_P2.54mm_Vertical,-11.811000,-23.495000,72.000000,top
J13,US8,PinSocket_1x04_P2.54mm_Vertical,11.811000,-23.495000,-72.000000,top
J14,US9,PinSocket_1x04_P2.54mm_Vertical,18.288000,-19.177000,144.000000,top
R1,10k,R_0603_1608Metric,-5.715000,-15.240000,0.000000,top
R2,120R,R_0603_1608Metric,-6.985000,-3.175000,180.000000,top
R3,500,R_0603_1608Metric,10.985000,13.970000,0.000000,top
SW1,RESET,SW_PUSH_6mm,0.000000,-13.970000,0.000000,top
U1,ATmega168PA-AU,TQFP-32_7x7mm_P0.8mm,-0.635000,14.605000,-90.000000,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,-12.700000,8.890000,-90.000000,top
Y1,16MHz,Crystal_SMD_HC49-SD,-18.415000,4.445000,-90.000000,top
