Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0805_2012Metric,162.814000,-102.174000,270.000000,top
D1,SS54,D_SMA,179.070000,-100.584000,0.000000,top
D4,SS54,D_SMA,159.512000,-77.724000,180.000000,top
L1,100u,L_12x12mm_H6mm,178.562000,-109.220000,0.000000,top
D2,PWR,LED_0603_1608Metric,178.054000,-87.884000,180.000000,top
Q1,AO3400A,SOT-23,157.734000,-81.280000,90.000000,top
R1,100k,R_1206_3216Metric,156.464000,-106.680000,180.000000,top
R2,100,R_1206_3216Metric,173.990000,-87.884000,0.000000,top
R3,10k,R_1206_3216Metric,141.478000,-107.696000,0.000000,top
R4,100,R_1206_3216Metric,174.058001,-85.375001,0.000000,top
R5,470,R_1206_3216Metric,154.432000,-80.772000,270.000000,top
D3,Status,LED_0603_1608Metric,178.054000,-85.344000,180.000000,top
U1,LM2576HVS-5,TO-263-5_TabPin3,192.278000,-96.774000,0.000000,top
U2,PCA9306DC1,VSSOP-8_2.3x2mm_P0.5mm,149.606000,-107.188000,0.000000,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,167.640000,-104.140000,90.000000,top
U4,ESP32-WROOM-32,ESP32-WROOM-32,148.590000,-94.742000,90.000000,top
